Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:34:38.862000,GAS,10,0 days 00:01:31.885000,1.0,1.0,,,,0 days 00:00:33.003000,0 days 00:00:29.258000,,0 days 00:34:09.677000,0 days 00:34:39.033000,249.0,245.0,274.0,294.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:33:06.785000,2019-05-12 13:13:06.839,12,6.0,False,,False,False
0 days 00:36:03.453000,GAS,10,0 days 00:01:24.591000,2.0,1.0,,,0 days 00:00:23.904000,0 days 00:00:31.725000,0 days 00:00:28.962000,0 days 00:35:02.788000,0 days 00:35:34.513000,0 days 00:36:03.475000,265.0,262.0,272.0,302.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:34:38.862000,2019-05-12 13:14:38.916,1,6.0,False,,False,True
0 days 00:37:27.248000,GAS,10,0 days 00:01:23.795000,3.0,1.0,,,0 days 00:00:23.677000,0 days 00:00:31.441000,0 days 00:00:28.677000,0 days 00:36:27.152000,0 days 00:36:58.593000,0 days 00:37:27.270000,272.0,261.0,272.0,303.0,True,SOFT,6.0,False,Red Bull Racing,0 days 00:36:03.453000,2019-05-12 13:16:03.507,1,6.0,False,,False,True
0 days 00:38:50.883000,GAS,10,0 days 00:01:23.635000,4.0,1.0,,,0 days 00:00:23.647000,0 days 00:00:31.313000,0 days 00:00:28.675000,0 days 00:37:50.917000,0 days 00:38:22.230000,0 days 00:38:50.905000,,263.0,272.0,302.0,True,SOFT,7.0,False,Red Bull Racing,0 days 00:37:27.248000,2019-05-12 13:17:27.302,1,6.0,False,,False,True
0 days 00:40:14.285000,GAS,10,0 days 00:01:23.402000,5.0,1.0,,,0 days 00:00:23.572000,0 days 00:00:31.311000,0 days 00:00:28.519000,0 days 00:39:14.477000,0 days 00:39:45.788000,0 days 00:40:14.307000,273.0,266.0,272.0,301.0,True,SOFT,8.0,False,Red Bull Racing,0 days 00:38:50.883000,2019-05-12 13:18:50.937,1,6.0,False,,False,True
0 days 00:41:37.693000,GAS,10,0 days 00:01:23.408000,6.0,1.0,,,0 days 00:00:23.544000,0 days 00:00:31.129000,0 days 00:00:28.735000,0 days 00:40:37.851000,0 days 00:41:08.980000,0 days 00:41:37.715000,275.0,261.0,270.0,,False,SOFT,9.0,False,Red Bull Racing,0 days 00:40:14.285000,2019-05-12 13:20:14.339,1,6.0,False,,False,True
0 days 00:43:00.807000,GAS,10,0 days 00:01:23.114000,7.0,1.0,,,0 days 00:00:23.519000,0 days 00:00:31.121000,0 days 00:00:28.474000,0 days 00:42:01.234000,0 days 00:42:32.355000,0 days 00:43:00.829000,274.0,271.0,273.0,,True,SOFT,10.0,False,Red Bull Racing,0 days 00:41:37.693000,2019-05-12 13:21:37.747,1,6.0,False,,False,True
0 days 00:44:23.681000,GAS,10,0 days 00:01:22.874000,8.0,1.0,,,0 days 00:00:23.471000,0 days 00:00:31.070000,0 days 00:00:28.333000,0 days 00:43:24.300000,0 days 00:43:55.370000,0 days 00:44:23.703000,275.0,264.0,272.0,302.0,True,SOFT,11.0,False,Red Bull Racing,0 days 00:43:00.807000,2019-05-12 13:23:00.861,1,6.0,False,,False,True
0 days 00:45:47.521000,GAS,10,0 days 00:01:23.840000,9.0,1.0,,,0 days 00:00:23.821000,0 days 00:00:31.400000,0 days 00:00:28.619000,0 days 00:44:47.524000,0 days 00:45:18.924000,0 days 00:45:47.543000,,260.0,271.0,301.0,False,SOFT,12.0,False,Red Bull Racing,0 days 00:44:23.681000,2019-05-12 13:24:23.735,1,6.0,False,,False,True
0 days 00:47:10.957000,GAS,10,0 days 00:01:23.436000,10.0,1.0,,,0 days 00:00:23.700000,0 days 00:00:31.293000,0 days 00:00:28.443000,0 days 00:46:11.243000,0 days 00:46:42.536000,0 days 00:47:10.979000,270.0,264.0,272.0,299.0,False,SOFT,13.0,False,Red Bull Racing,0 days 00:45:47.521000,2019-05-12 13:25:47.575,1,6.0,False,,False,True
0 days 00:48:34.163000,GAS,10,0 days 00:01:23.206000,11.0,1.0,,,0 days 00:00:23.642000,0 days 00:00:31.212000,0 days 00:00:28.352000,0 days 00:47:34.621000,0 days 00:48:05.833000,0 days 00:48:34.185000,278.0,265.0,272.0,300.0,False,SOFT,14.0,False,Red Bull Racing,0 days 00:47:10.957000,2019-05-12 13:27:11.011,1,6.0,False,,False,True
0 days 00:49:57.420000,GAS,10,0 days 00:01:23.257000,12.0,1.0,,,0 days 00:00:23.547000,0 days 00:00:31.298000,0 days 00:00:28.412000,0 days 00:48:57.732000,0 days 00:49:29.030000,0 days 00:49:57.442000,275.0,264.0,274.0,302.0,False,SOFT,15.0,False,Red Bull Racing,0 days 00:48:34.163000,2019-05-12 13:28:34.217,1,6.0,False,,False,True
0 days 00:51:20.558000,GAS,10,0 days 00:01:23.138000,13.0,1.0,,,0 days 00:00:23.535000,0 days 00:00:31.231000,0 days 00:00:28.372000,0 days 00:50:20.977000,0 days 00:50:52.208000,0 days 00:51:20.580000,272.0,268.0,272.0,301.0,False,SOFT,16.0,False,Red Bull Racing,0 days 00:49:57.420000,2019-05-12 13:29:57.474,1,6.0,False,,False,True
0 days 00:52:44.123000,GAS,10,0 days 00:01:23.565000,14.0,1.0,,,0 days 00:00:23.680000,0 days 00:00:31.414000,0 days 00:00:28.471000,0 days 00:51:44.260000,0 days 00:52:15.674000,0 days 00:52:44.145000,268.0,266.0,272.0,302.0,False,SOFT,17.0,False,Red Bull Racing,0 days 00:51:20.558000,2019-05-12 13:31:20.612,1,6.0,False,,False,True
0 days 00:54:07.759000,GAS,10,0 days 00:01:23.636000,15.0,1.0,,,0 days 00:00:23.644000,0 days 00:00:31.357000,0 days 00:00:28.635000,0 days 00:53:07.789000,0 days 00:53:39.146000,0 days 00:54:07.781000,275.0,264.0,271.0,299.0,False,SOFT,18.0,False,Red Bull Racing,0 days 00:52:44.123000,2019-05-12 13:32:44.177,1,6.0,False,,False,True
