Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:35:11.255000,GAS,10,0 days 00:01:47.505000,1.0,1.0,,,,0 days 00:00:41.749000,0 days 00:00:34.736000,,0 days 00:34:36.561000,0 days 00:35:11.442000,194.0,179.0,203.0,289.0,False,SOFT,4.0,False,Toro Rosso,0 days 00:33:23.612000,2019-11-03 19:13:24.328,1,8.0,False,,False,False
0 days 00:36:55.508000,GAS,10,0 days 00:01:44.253000,2.0,1.0,,,0 days 00:00:28.497000,0 days 00:00:41.506000,0 days 00:00:34.250000,0 days 00:35:39.752000,0 days 00:36:21.258000,0 days 00:36:55.508000,200.0,179.0,202.0,306.0,True,SOFT,5.0,False,Toro Rosso,0 days 00:35:11.255000,2019-11-03 19:15:11.971,1,8.0,False,,False,True
0 days 00:38:38.754000,GAS,10,0 days 00:01:43.246000,3.0,1.0,,,0 days 00:00:27.999000,0 days 00:00:40.864000,0 days 00:00:34.383000,0 days 00:37:23.507000,0 days 00:38:04.371000,0 days 00:38:38.754000,203.0,178.0,202.0,310.0,True,SOFT,6.0,False,Toro Rosso,0 days 00:36:55.508000,2019-11-03 19:16:56.224,1,8.0,False,,False,True
0 days 00:40:21.548000,GAS,10,0 days 00:01:42.794000,4.0,1.0,,,0 days 00:00:27.885000,0 days 00:00:40.889000,0 days 00:00:34.020000,0 days 00:39:06.639000,0 days 00:39:47.528000,0 days 00:40:21.548000,205.0,180.0,203.0,296.0,True,SOFT,7.0,False,Toro Rosso,0 days 00:38:38.754000,2019-11-03 19:18:39.470,1,8.0,False,,False,True
0 days 00:42:04.029000,GAS,10,0 days 00:01:42.481000,5.0,1.0,,,0 days 00:00:27.877000,0 days 00:00:40.634000,0 days 00:00:33.970000,0 days 00:40:49.425000,0 days 00:41:30.059000,0 days 00:42:04.029000,202.0,180.0,203.0,296.0,True,SOFT,8.0,False,Toro Rosso,0 days 00:40:21.548000,2019-11-03 19:20:22.264,1,8.0,False,,False,True
0 days 00:43:46.431000,GAS,10,0 days 00:01:42.402000,6.0,1.0,,,0 days 00:00:27.714000,0 days 00:00:40.762000,0 days 00:00:33.926000,0 days 00:42:31.743000,0 days 00:43:12.505000,0 days 00:43:46.431000,205.0,179.0,201.0,296.0,True,SOFT,9.0,False,Toro Rosso,0 days 00:42:04.029000,2019-11-03 19:22:04.745,1,8.0,False,,False,True
0 days 00:45:29.549000,GAS,10,0 days 00:01:43.118000,7.0,1.0,,,0 days 00:00:27.858000,0 days 00:00:41.123000,0 days 00:00:34.137000,0 days 00:44:14.289000,0 days 00:44:55.412000,0 days 00:45:29.549000,197.0,179.0,202.0,292.0,False,SOFT,10.0,False,Toro Rosso,0 days 00:43:46.431000,2019-11-03 19:23:47.147,1,8.0,False,,False,True
0 days 00:47:12.955000,GAS,10,0 days 00:01:43.406000,8.0,1.0,,,0 days 00:00:27.896000,0 days 00:00:41.290000,0 days 00:00:34.220000,0 days 00:45:57.445000,0 days 00:46:38.735000,0 days 00:47:12.955000,202.0,178.0,202.0,291.0,False,SOFT,11.0,False,Toro Rosso,0 days 00:45:29.549000,2019-11-03 19:25:30.265,12,7.0,False,,False,True
0 days 00:48:56.145000,GAS,10,0 days 00:01:43.190000,9.0,1.0,,,0 days 00:00:27.939000,0 days 00:00:41.189000,0 days 00:00:34.062000,0 days 00:47:40.894000,0 days 00:48:22.083000,0 days 00:48:56.145000,201.0,177.0,201.0,291.0,False,SOFT,12.0,False,Toro Rosso,0 days 00:47:12.955000,2019-11-03 19:27:13.671,21,7.0,False,,False,True
0 days 00:50:39.535000,GAS,10,0 days 00:01:43.390000,10.0,1.0,,,0 days 00:00:28.044000,0 days 00:00:41.271000,0 days 00:00:34.075000,0 days 00:49:24.189000,0 days 00:50:05.460000,0 days 00:50:39.535000,190.0,178.0,201.0,291.0,False,SOFT,13.0,False,Toro Rosso,0 days 00:48:56.145000,2019-11-03 19:28:56.861,1,7.0,False,,False,True
