Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:34:06.302000,GAS,10,0 days 00:01:19.106000,1.0,1.0,,,,0 days 00:00:33.352000,0 days 00:00:23.247000,,0 days 00:33:43.079000,0 days 00:34:06.511000,309.0,217.0,274.0,290.0,False,MEDIUM,1.0,True,AlphaTauri,0 days 00:32:47.006000,2020-07-05 13:12:47.229,1,12.0,False,,False,False
0 days 00:35:18.714000,GAS,10,0 days 00:01:12.412000,2.0,1.0,,,0 days 00:00:17.960000,0 days 00:00:32.228000,0 days 00:00:22.224000,0 days 00:34:24.262000,0 days 00:34:56.490000,0 days 00:35:18.714000,282.0,226.0,270.0,292.0,True,MEDIUM,2.0,True,AlphaTauri,0 days 00:34:06.302000,2020-07-05 13:14:06.525,1,12.0,False,,False,True
0 days 00:36:30.025000,GAS,10,0 days 00:01:11.311000,3.0,1.0,,,0 days 00:00:17.513000,0 days 00:00:31.717000,0 days 00:00:22.081000,0 days 00:35:36.227000,0 days 00:36:07.944000,0 days 00:36:30.025000,307.0,224.0,277.0,311.0,True,MEDIUM,3.0,True,AlphaTauri,0 days 00:35:18.714000,2020-07-05 13:15:18.937,1,12.0,False,,False,True
0 days 00:37:40.750000,GAS,10,0 days 00:01:10.725000,4.0,1.0,,,0 days 00:00:17.410000,0 days 00:00:31.510000,0 days 00:00:21.805000,0 days 00:36:47.435000,0 days 00:37:18.945000,0 days 00:37:40.750000,309.0,218.0,275.0,309.0,True,MEDIUM,4.0,True,AlphaTauri,0 days 00:36:30.025000,2020-07-05 13:16:30.248,1,12.0,False,,False,True
0 days 00:38:52.261000,GAS,10,0 days 00:01:11.511000,5.0,1.0,,,0 days 00:00:17.464000,0 days 00:00:31.827000,0 days 00:00:22.220000,0 days 00:37:58.214000,0 days 00:38:30.041000,0 days 00:38:52.261000,303.0,219.0,268.0,296.0,False,MEDIUM,5.0,True,AlphaTauri,0 days 00:37:40.750000,2020-07-05 13:17:40.973,1,12.0,False,,False,True
0 days 00:40:04.289000,GAS,10,0 days 00:01:12.028000,6.0,1.0,,,0 days 00:00:17.944000,0 days 00:00:31.741000,0 days 00:00:22.343000,0 days 00:39:10.205000,0 days 00:39:41.946000,0 days 00:40:04.289000,273.0,221.0,270.0,280.0,False,MEDIUM,6.0,True,AlphaTauri,0 days 00:38:52.261000,2020-07-05 13:18:52.484,1,12.0,False,,False,True
0 days 00:41:15.462000,GAS,10,0 days 00:01:11.173000,7.0,1.0,,,0 days 00:00:17.898000,0 days 00:00:31.660000,0 days 00:00:21.615000,0 days 00:40:22.187000,0 days 00:40:53.847000,0 days 00:41:15.462000,281.0,219.0,269.0,287.0,False,MEDIUM,7.0,True,AlphaTauri,0 days 00:40:04.289000,2020-07-05 13:20:04.512,1,12.0,False,,False,True
0 days 00:42:26.374000,GAS,10,0 days 00:01:10.912000,8.0,1.0,,,0 days 00:00:17.846000,0 days 00:00:31.491000,0 days 00:00:21.575000,0 days 00:41:33.308000,0 days 00:42:04.799000,0 days 00:42:26.374000,283.0,222.0,271.0,289.0,False,MEDIUM,8.0,True,AlphaTauri,0 days 00:41:15.462000,2020-07-05 13:21:15.685,1,12.0,False,,False,True
0 days 00:49:32.144000,GAS,10,0 days 00:01:10.827000,9.0,1.0,,,0 days 00:00:17.883000,0 days 00:00:31.301000,,0 days 00:49:58.778000,0 days 00:43:15.675000,,281.0,222.0,,287.0,False,MEDIUM,9.0,True,AlphaTauri,0 days 00:42:26.374000,2020-07-05 13:22:26.597,1,14.0,False,,False,False
0 days 00:50:43.114000,GAS,10,0 days 00:01:10.970000,10.0,1.0,,,0 days 00:00:17.883000,0 days 00:00:31.593000,0 days 00:00:21.494000,,0 days 00:50:21.620000,0 days 00:50:43.114000,,222.0,270.0,289.0,False,MEDIUM,10.0,True,AlphaTauri,0 days 00:49:32.144000,2020-07-05 13:29:32.367,1,14.0,False,,False,True
0 days 00:51:54.067000,GAS,10,0 days 00:01:10.953000,11.0,1.0,,,0 days 00:00:17.957000,0 days 00:00:31.554000,0 days 00:00:21.442000,0 days 00:51:01.071000,0 days 00:51:32.625000,0 days 00:51:54.067000,282.0,220.0,271.0,287.0,False,MEDIUM,11.0,True,AlphaTauri,0 days 00:50:43.114000,2020-07-05 13:30:43.337,1,13.0,False,,False,True
0 days 00:53:04.829000,GAS,10,0 days 00:01:10.762000,12.0,1.0,,,0 days 00:00:17.866000,0 days 00:00:31.417000,0 days 00:00:21.479000,0 days 00:52:11.933000,0 days 00:52:43.350000,0 days 00:53:04.829000,279.0,228.0,271.0,288.0,False,MEDIUM,12.0,True,AlphaTauri,0 days 00:51:54.067000,2020-07-05 13:31:54.290,1,12.0,False,,False,True
0 days 00:54:15.673000,GAS,10,0 days 00:01:10.844000,13.0,1.0,,,0 days 00:00:17.883000,0 days 00:00:31.518000,0 days 00:00:21.443000,0 days 00:53:22.712000,0 days 00:53:54.230000,0 days 00:54:15.673000,281.0,227.0,271.0,288.0,False,MEDIUM,13.0,True,AlphaTauri,0 days 00:53:04.829000,2020-07-05 13:33:05.052,1,12.0,False,,False,True
0 days 00:55:26.385000,GAS,10,0 days 00:01:10.712000,14.0,1.0,,,0 days 00:00:17.885000,0 days 00:00:31.362000,0 days 00:00:21.465000,0 days 00:54:33.558000,0 days 00:55:04.920000,0 days 00:55:26.385000,279.0,226.0,269.0,301.0,True,MEDIUM,14.0,True,AlphaTauri,0 days 00:54:15.673000,2020-07-05 13:34:15.896,1,11.0,False,,False,True
0 days 00:56:37.324000,GAS,10,0 days 00:01:10.939000,15.0,1.0,,,0 days 00:00:17.910000,0 days 00:00:31.493000,0 days 00:00:21.536000,0 days 00:55:44.295000,0 days 00:56:15.788000,0 days 00:56:37.324000,,228.0,268.0,284.0,False,MEDIUM,15.0,True,AlphaTauri,0 days 00:55:26.385000,2020-07-05 13:35:26.608,12,11.0,False,,False,True
0 days 00:57:48.057000,GAS,10,0 days 00:01:10.733000,16.0,1.0,,,0 days 00:00:17.823000,0 days 00:00:31.456000,0 days 00:00:21.454000,0 days 00:56:55.147000,0 days 00:57:26.603000,0 days 00:57:48.057000,284.0,228.0,268.0,288.0,False,MEDIUM,16.0,True,AlphaTauri,0 days 00:56:37.324000,2020-07-05 13:36:37.547,1,11.0,False,,False,True
0 days 00:58:58.592000,GAS,10,0 days 00:01:10.535000,17.0,1.0,,,0 days 00:00:17.809000,0 days 00:00:31.317000,0 days 00:00:21.409000,0 days 00:58:05.866000,0 days 00:58:37.183000,0 days 00:58:58.592000,281.0,228.0,269.0,290.0,True,MEDIUM,17.0,True,AlphaTauri,0 days 00:57:48.057000,2020-07-05 13:37:48.280,1,11.0,False,,False,True
